"","Mouse_ID","Latitude","Longitude","Sex","FEC_Crypto_Ct","FEC_Eim_Ct","MC.Eimeria.FEC","Feces_weight_Extraction","Oocyst_Predict_Crypto_FEC","OPG.FEC"
"931","AA_0972",52.978408,13.733637,"M",19.11,0,FALSE,0.0578,10287678,177987508.650519
"935","AA_0976",52.978408,13.733637,"M",18.82,0,FALSE,0.0168,12520135,745246130.952381
"949","AA_0990",52.9716,13.2767,"M",26.58,0,FALSE,0.0147,65361,4446326.53061225
"953","AA_0994",52.7383,14.2625,"M",30.42,0,FALSE,0.0088,4852,551363.636363636
"999","AA_1042",53.051694,13.440196,"M",31.75,21.13,FALSE,0.0151,1971,130529.801324503
"1029","CB_004",52.384046,13.76054,"M",29.65,29.84,FALSE,0.056,8173,145946.428571429
"1030","CB_005",52.47347,13.69029,"M",31.83,30.71,FALSE,0.0362,1867,51574.5856353591
"986","AA_1028",52.979407,13.73026,"F",34.46,30.76,FALSE,0.0133,314,23609.022556391
"984","AA_1026",52.979407,13.73026,"F",30.35,30.87,FALSE,0.0299,5087,170133.779264214
"957","AA_0998",52.47347,13.69029,"M",34.52,32.08,FALSE,0.089,302,3393.25842696629
"985","AA_1027",52.979407,13.73026,"F",29.91,32.16,FALSE,0.0421,6853,162779.097387173
"983","AA_1025",52.979407,13.73026,"F",30.14,32.17,FALSE,0.0518,5865,113223.938223938
"974","AA_1015",52.9758,13.7317,"M",34.52,32.59,FALSE,0.0599,302,5041.73622704507
"981","AA_1023",52.979407,13.73026,"F",30.22,33.06,FALSE,0.0495,5556,112242.424242424
"987","AA_1030",52.93356,13.93226,"F",31.51,33.18,FALSE,0.0282,2319,82234.0425531915
"954","AA_0995",52.4978,13.6761,"M",32.15,33.28,FALSE,0.0152,1503,98881.5789473684
"994","AA_1037",52.93356,13.93226,"M",32.74,33.94,FALSE,0.0175,1008,57600
"988","AA_1031",52.93356,13.93226,"F",33.49,34.27,FALSE,0.0304,606,19934.2105263158
"1032","CB_007",52.978408,13.733637,"M",26.64,35.05,FALSE,0.0265,62758,2368226.41509434
"992","AA_1035",52.93356,13.93226,"M",33.35,35.24,FALSE,0.008,667,83375
"930","AA_0971",52.978408,13.733637,"M",30.8,37.13,FALSE,0.0287,3751,130696.864111498
"946","AA_0987",52.9572,13.2835,"M",29.6,37.36,FALSE,0.0228,8454,370789.473684211
"934","AA_0975",52.978408,13.733637,"M",31.45,37.8,FALSE,0.0096,2415,251562.5
"923","AA_0964",52.978408,13.733637,"F",32.45,38.19,FALSE,0.0159,1227,77169.8113207547
